count;year;gender_event;gender_athlete;event;type;family_name_ok;given_name_ok;country;continent;country_career;athlete_ok;medal
28736;2009;Women;Women;4 x 100m Medley;Relay;Rice;Stephanie;AUS;Oceania;AUS;Stephanie Rice (AUS);Silver
28737;2009;Women;Women;4 x 100m Medley;Relay;Reese;Shayne;AUS;Oceania;AUS;Shayne Reese (AUS);Silver
28854;2009;Men;Men;50m Freestyle;Individual;Cielo;Cesar;BRA;America;BRA;Cesar Cielo (BRA);Gold
28855;2009;Men;Men;50m Freestyle;Individual;Bousquet;Frederick;FRA;Europe;FRA;Frederick Bousquet (FRA);Silver
28856;2009;Men;Men;50m Freestyle;Individual;Leveaux;Amaury;FRA;Europe;FRA;Amaury Leveaux (FRA);Bronze
29090;2009;Men;Men;50m Breaststroke;Individual;van der Burgh;Cameron;RSA;Africa;RSA;Cameron van der Burgh (RSA);Gold
29091;2009;Men;Men;50m Breaststroke;Individual;Franca da Silva;Felipe;BRA;America;BRA;Felipe Franca da Silva (BRA);Silver
29092;2009;Men;Men;50m Breaststroke;Individual;Gangloff;Mark;USA;America;USA;Mark Gangloff (USA);Bronze
29268;2009;Men;Men;100m Breaststroke;Individual;Rickard;Brenton;AUS;Oceania;AUS;Brenton Rickard (AUS);Gold
29269;2009;Men;Men;100m Breaststroke;Individual;Duboscq;Hugues;FRA;Europe;FRA;Hugues Duboscq (FRA);Silver
29270;2009;Men;Men;100m Breaststroke;Individual;van der Burgh;Cameron;RSA;Africa;RSA;Cameron van der Burgh (RSA);Bronze
29434;2009;Men;Men;200m Breaststroke;Individual;Gyurta;Daniel;HUN;Europe;HUN;Daniel Gyurta (HUN);Gold
29435;2009;Men;Men;200m Breaststroke;Individual;Shanteau;Eric;USA;America;USA;Eric Shanteau (USA);Silver
29436;2009;Men;Men;200m Breaststroke;Individual;Sprenger;Christian;AUS;Oceania;AUS;Christian Sprenger (AUS);Bronze
29437;2009;Men;Men;200m Breaststroke;Individual;Titenis;Giedrius;LTU;Europe;LTU;Giedrius Titenis (LTU);Bronze
